날짜,출연자,소스,값
2025-12-14,요리괴물,datalab,0.64589
2025-12-14,요리괴물,google,0.0
2025-12-14,요리괴물,youtube,0.0
2025-12-14,윤준모,datalab,0.22308
2025-12-14,윤준모,google,0.0
2025-12-14,윤준모,youtube,0.0
2025-12-14,임성근,datalab,0.66265
2025-12-14,임성근,google,0.0
2025-12-14,임성근,youtube,0.0
2025-12-14,정호영,datalab,7.13776
2025-12-14,정호영,google,0.0
2025-12-14,정호영,youtube,27.0
2025-12-14,최강록,datalab,1.08558
2025-12-14,최강록,google,0.0
2025-12-14,최강록,youtube,1.0
2025-12-14,후덕죽,datalab,2.87003
2025-12-14,후덕죽,google,0.0
2025-12-14,후덕죽,youtube,3.0
2025-12-15,샘킴,datalab,14.25489
2025-12-15,샘킴,google,0.0
2025-12-15,샘킴,youtube,0.0
2025-12-15,선재스님,datalab,3.91906
2025-12-15,선재스님,google,0.0
2025-12-15,선재스님,youtube,0.0
2025-12-15,손종원,datalab,11.06347
2025-12-15,손종원,google,8.0
2025-12-15,손종원,youtube,11.0
2025-12-15,아기맹수,datalab,2.48203
2025-12-15,아기맹수,google,0.0
2025-12-15,아기맹수,youtube,0.0
2025-12-15,요리괴물,datalab,0.50658
2025-12-15,요리괴물,google,0.0
2025-12-15,요리괴물,youtube,0.0
2025-12-15,윤준모,datalab,0.25054
2025-12-15,윤준모,google,0.0
2025-12-15,윤준모,youtube,0.0
2025-12-15,임성근,datalab,0.38013
2025-12-15,임성근,google,0.0
2025-12-15,임성근,youtube,0.0
2025-12-15,정호영,datalab,6.67458
2025-12-15,정호영,google,27.0
2025-12-15,정호영,youtube,28.0
2025-12-15,최강록,datalab,1.05997
2025-12-15,최강록,google,0.0
2025-12-15,최강록,youtube,1.0
2025-12-15,후덕죽,datalab,3.0572
2025-12-15,후덕죽,google,0.0
2025-12-15,후덕죽,youtube,3.0
2025-12-16,샘킴,datalab,13.10444
2025-12-16,샘킴,google,0.0
2025-12-16,샘킴,youtube,0.0
2025-12-16,선재스님,datalab,29.25379
2025-12-16,선재스님,google,64.0
2025-12-16,선재스님,youtube,16.0
2025-12-16,손종원,datalab,19.89604
2025-12-16,손종원,google,22.0
2025-12-16,손종원,youtube,25.0
2025-12-16,아기맹수,datalab,31.48157
2025-12-16,아기맹수,google,215.0
2025-12-16,아기맹수,youtube,8.0
2025-12-16,요리괴물,datalab,6.19934
2025-12-16,요리괴물,google,0.0
2025-12-16,요리괴물,youtube,0.0
2025-12-16,윤준모,datalab,26.15574
2025-12-16,윤준모,google,0.0
2025-12-16,윤준모,youtube,6.0
2025-12-16,임성근,datalab,1.23285
2025-12-16,임성근,google,0.0
2025-12-16,임성근,youtube,0.0
2025-12-16,정호영,datalab,7.18527
2025-12-16,정호영,google,0.0
2025-12-16,정호영,youtube,35.0
2025-12-16,최강록,datalab,7.78829
2025-12-16,최강록,google,10.0
2025-12-16,최강록,youtube,6.0
2025-12-16,후덕죽,datalab,10.80341
2025-12-16,후덕죽,google,21.0
2025-12-16,후덕죽,youtube,2.0
2025-12-17,샘킴,datalab,16.64569
2025-12-17,샘킴,google,0.0
2025-12-17,샘킴,youtube,10.0
2025-12-17,선재스님,datalab,79.26132
2025-12-17,선재스님,google,71.0
2025-12-17,선재스님,youtube,94.0
2025-12-17,손종원,datalab,48.96991
2025-12-17,손종원,google,48.0
2025-12-17,손종원,youtube,63.0
2025-12-17,아기맹수,datalab,100.0
2025-12-17,아기맹수,google,266.0
2025-12-17,아기맹수,youtube,41.0
2025-12-17,요리괴물,datalab,8.37132
2025-12-17,요리괴물,google,10.0
2025-12-17,요리괴물,youtube,7.0
2025-12-17,윤준모,datalab,44.42804
2025-12-17,윤준모,google,28.0
2025-12-17,윤준모,youtube,22.0
2025-12-17,임성근,datalab,1.30477
2025-12-17,임성근,google,0.0
2025-12-17,임성근,youtube,0.0
2025-12-17,정호영,datalab,9.21615
2025-12-17,정호영,google,0.0
2025-12-17,정호영,youtube,31.0
2025-12-17,최강록,datalab,13.7668
2025-12-17,최강록,google,15.0
2025-12-17,최강록,youtube,14.0
2025-12-17,후덕죽,datalab,13.52946
2025-12-17,후덕죽,google,19.0
2025-12-17,후덕죽,youtube,6.0
2025-12-18,샘킴,datalab,13.12241
2025-12-18,샘킴,google,0.0
2025-12-18,샘킴,youtube,18.0
2025-12-18,선재스님,datalab,86.15164
2025-12-18,선재스님,google,59.0
2025-12-18,선재스님,youtube,100.0
2025-12-18,손종원,datalab,51.32602
2025-12-18,손종원,google,50.0
2025-12-18,손종원,youtube,94.0
2025-12-18,아기맹수,datalab,80.17939
2025-12-18,아기맹수,google,173.0
2025-12-18,아기맹수,youtube,42.0
2025-12-18,요리괴물,datalab,7.50379
2025-12-18,요리괴물,google,8.0
2025-12-18,요리괴물,youtube,6.0
2025-12-18,윤준모,datalab,30.74441
2025-12-18,윤준모,google,0.0
2025-12-18,윤준모,youtube,26.0
2025-12-18,임성근,datalab,1.29449
2025-12-18,임성근,google,0.0
2025-12-18,임성근,youtube,0.0
2025-12-18,정호영,datalab,10.8551
2025-12-18,정호영,google,20.0
2025-12-18,정호영,youtube,33.0
2025-12-18,최강록,datalab,11.30113
2025-12-18,최강록,google,9.0
2025-12-18,최강록,youtube,11.0
2025-12-18,후덕죽,datalab,9.10923
2025-12-18,후덕죽,google,14.0
2025-12-18,후덕죽,youtube,3.0
2025-12-19,샘킴,datalab,11.52255
2025-12-19,샘킴,google,23.0
2025-12-19,샘킴,youtube,20.0
2025-12-19,선재스님,datalab,65.49947
2025-12-19,선재스님,google,47.0
2025-12-19,선재스님,youtube,66.0
2025-12-19,손종원,datalab,50.03604
2025-12-19,손종원,google,47.0
2025-12-19,손종원,youtube,100.0
2025-12-19,아기맹수,datalab,60.37408
2025-12-19,아기맹수,google,81.0
2025-12-19,아기맹수,youtube,40.0
2025-12-19,요리괴물,datalab,6.11068
2025-12-19,요리괴물,google,6.0
2025-12-19,요리괴물,youtube,10.0
2025-12-19,윤준모,datalab,23.26251
2025-12-19,윤준모,google,0.0
2025-12-19,윤준모,youtube,22.0
2025-12-19,임성근,datalab,0.99142
2025-12-19,임성근,google,0.0
2025-12-19,임성근,youtube,0.0
2025-12-19,정호영,datalab,11.93586
2025-12-19,정호영,google,21.0
2025-12-19,정호영,youtube,31.0
2025-12-19,최강록,datalab,9.89969
2025-12-19,최강록,google,9.0
2025-12-19,최강록,youtube,12.0
2025-12-19,후덕죽,datalab,6.47917
2025-12-19,후덕죽,google,13.0
2025-12-19,후덕죽,youtube,4.0
2025-12-20,샘킴,datalab,14.11109
2025-12-20,샘킴,google,0.0
2025-12-20,샘킴,youtube,19.0
2025-12-20,선재스님,datalab,67.78621
2025-12-20,선재스님,google,64.0
2025-12-20,선재스님,youtube,63.0
2025-12-20,손종원,datalab,58.07185
2025-12-20,손종원,google,57.0
2025-12-20,손종원,youtube,84.0
2025-12-20,아기맹수,datalab,51.59777
2025-12-20,아기맹수,google,56.0
2025-12-20,아기맹수,youtube,63.0
2025-12-20,요리괴물,datalab,6.67426
2025-12-20,요리괴물,google,0.0
2025-12-20,요리괴물,youtube,6.0
2025-12-20,윤준모,datalab,26.48865
2025-12-20,윤준모,google,0.0
2025-12-20,윤준모,youtube,12.0
2025-12-20,임성근,datalab,1.00683
2025-12-20,임성근,google,0.0
2025-12-20,임성근,youtube,0.0
2025-12-20,정호영,datalab,18.44418
2025-12-20,정호영,google,0.0
2025-12-20,정호영,youtube,36.0
2025-12-20,최강록,datalab,12.93448
2025-12-20,최강록,google,12.0
