restaurant,reviewer,review_date,reviewer_rating,day_night
IMOK Smoke Dining,ENTP,2025.12.31,5.0,저녁
IMOK Smoke Dining,정직한 셀럽_62395,2025.12.31,1.5,점심
IMOK Smoke Dining,부드러운 마스터_48087,2025.12.31,5.0,점심
IMOK Smoke Dining,문상의,2025.12.30,5.0,저녁
IMOK Smoke Dining,leonid7,2025.12.30,5.0,저녁
IMOK Smoke Dining,온화한 맛사냥꾼_12258,2025.12.30,5.0,점심
IMOK Smoke Dining,코코석,2025.12.29,5.0,저녁
IMOK Smoke Dining,미식가 리카,2025.12.29,5.0,저녁
IMOK Smoke Dining,홍차녹차,2025.12.29,4.5,저녁
IMOK Smoke Dining,따뜻한 식객_53590,2025.12.29,5.0,점심
IMOK Smoke Dining,bingo38,2025.12.29,4.0,저녁
IMOK Smoke Dining,쾌활한 식도락가_21818,2025.12.28,5.0,저녁
IMOK Smoke Dining,용벤,2025.12.28,5.0,점심
IMOK Smoke Dining,배상무,2025.12.28,5.0,저녁
IMOK Smoke Dining,yulia_0617,2025.12.27,5.0,저녁
IMOK Smoke Dining,경훈힘,2025.12.27,5.0,점심
IMOK Smoke Dining,Jhoney81,2025.12.27,5.0,점심
IMOK Smoke Dining,호기심 많은 셀럽_71203,2025.12.27,5.0,점심
IMOK Smoke Dining,John Kim DDS,2025.12.27,4.5,저녁
IMOK Smoke Dining,장복규,2025.12.26,5.0,저녁
IMOK Smoke Dining,오렌지군,2025.12.26,4.8,저녁
IMOK Smoke Dining,오 선영,2025.12.26,5.0,점심
IMOK Smoke Dining,하연공,2025.12.26,5.0,점심
IMOK Smoke Dining,착한 미식가_6027,2025.12.26,5.0,점심
IMOK Smoke Dining,이잉공주,2025.12.25,4.0,점심
IMOK Smoke Dining,기분좋은 셀럽_87004,2025.12.25,4.8,저녁
IMOK Smoke Dining,부드러운 개척가_65286,2025.12.25,4.8,저녁
IMOK Smoke Dining,우수한 미식가_23738,2025.12.25,5.0,저녁
IMOK Smoke Dining,즐거운 미식가_29876,2025.12.25,5.0,점심
IMOK Smoke Dining,오 선영,2025.12.25,5.0,저녁
IMOK Smoke Dining,쾌활한 식도락가_99315,2025.12.24,5.0,저녁
IMOK Smoke Dining,착한 식도락가_54987,2025.12.24,5.0,점심
IMOK Smoke Dining,착한 식도락가_31257,2025.12.24,5.0,점심
IMOK Smoke Dining,yoonyoun****,2025.12.23,5.0,저녁
IMOK Smoke Dining,라마2,2025.12.23,5.0,저녁
IMOK Smoke Dining,예리한 개척가_39948,2025.12.23,5.0,저녁
IMOK Smoke Dining,젠희,2025.12.23,5.0,저녁
IMOK Smoke Dining,h_hong_e,2025.12.22,4.8,점심
IMOK Smoke Dining,원효대사,2025.12.22,5.0,저녁
IMOK Smoke Dining,크아아잉옹앵앙기,2025.12.22,4.0,저녁
