restaurant,reviewer,review_date,reviewer_rating,day_night
유용욱 바베큐 연구소,한큐맨,2026.01.19,5.0,점심
유용욱 바베큐 연구소,진이8044,2026.01.18,5.0,저녁
IMOK Smoke Dining,귤모나,2026.01.20,5.0,저녁
IMOK Smoke Dining,재능있는 맛사냥꾼_89331,2026.01.20,5.0,저녁
IMOK Smoke Dining,japchae,2026.01.20,5.0,저녁
IMOK Smoke Dining,요동두루치기,2026.01.19,5.0,점심
IMOK Smoke Dining,임화화,2026.01.19,5.0,저녁
IMOK Smoke Dining,ㄱ전진태,2026.01.18,5.0,저녁
IMOK Smoke Dining,밝은 미식가_88131,2026.01.18,5.0,저녁
IMOK Smoke Dining,예리한 개척가_63408,2026.01.18,4.5,점심
IMOK Smoke Dining,난다우닝,2026.01.18,5.0,저녁
IMOK Smoke Dining,슈우웅,2026.01.18,4.3,점심
IMOK Smoke Dining,덩이덩덩,2026.01.18,5.0,점심
IMOK Smoke Dining,예진핸드,2026.01.18,5.0,점심
IMOK Smoke Dining,김두디,2026.01.18,5.0,점심
라망시크레,lisianthus_,2026.01.20,5.0,점심
라망시크레,동글06,2026.01.20,4.0,점심
라망시크레,성휘웅,2026.01.19,5.0,저녁
라망시크레,아아는아침에,2026.01.18,4.5,저녁
라망시크레,발랄한 미식가_31175,2026.01.18,5.0,점심
Original Numbers 청담,cnzk****,2026.01.21,5.0,저녁
Original Numbers 청담,미식탐구,2026.01.20,5.0,점심
Original Numbers 청담,진주히,2026.01.20,5.0,점심
Original Numbers 청담,프로혼밥러1234,2026.01.20,5.0,점심
Original Numbers 청담,혜은씨,2026.01.18,5.0,저녁
Original Numbers 청담,쮸랑ㅣ,2026.01.18,4.5,저녁
앰배서더 서울 풀만 호빈,예리한 마스터_32478,2026.01.20,5.0,저녁
앰배서더 서울 풀만 호빈,부드러운 미식가_15501,2026.01.20,5.0,점심
앰배서더 서울 풀만 호빈,조정재,2026.01.20,5.0,점심
앰배서더 서울 풀만 호빈,대치리 맛피아,2026.01.19,5.0,저녁
옥동식,5레오,2026.01.21,2.0,
옥동식,시은22,2026.01.20,4.5,
옥동식,활기찬 셀럽_21958,2026.01.20,5.0,
옥동식,아름다운 식객_91004,2026.01.20,5.0,
옥동식,고로케로피,2026.01.20,3.0,
옥동식,엔터테이,2026.01.20,5.0,
옥동식,꿈꾸는 셀럽_30866,2026.01.20,4.0,
옥동식,조용한 식객_5488,2026.01.20,5.0,
옥동식,떠기일,2026.01.20,5.0,
옥동식,왕왕밤밤빵빵,2026.01.20,5.0,
옥동식,따뜻한 식객_41417,2026.01.19,4.5,
옥동식,새로운 마스터_49688,2026.01.19,5.0,
옥동식,착한 마스터_17511,2026.01.19,5.0,
옥동식,Fmfmckc,2026.01.18,4.0,
옥동식,밈우,2026.01.18,1.0,
옥동식,Clalala,2026.01.18,4.3,
옥동식,위트있는 식도락가_22316,2026.01.18,5.0,
옥동식,부드러운 셀럽_56375,2026.01.18,1.5,
옥동식,행복한 개척가_49634,2026.01.18,4.3,
옥동식,최유빈,2026.01.18,5.0,
옥동식,멋진 식도락가_64111,2026.01.18,4.2,
옥동식,발랄한 식객_5973,2026.01.18,5.0,
SOIGNE,인기많은 미식가_54136,2026.01.21,5.0,저녁
SOIGNE,Erin0126,2026.01.20,4.3,저녁
SOIGNE,멋진 셀럽_78465,2026.01.20,4.5,저녁
SOIGNE,EK-bro,2026.01.20,5.0,점심
SOIGNE,씩씩한 식도락가_26331,2026.01.20,5.0,점심
SOIGNE,라면짱,2026.01.19,5.0,저녁
SOIGNE,우비닉,2026.01.19,4.8,점심
SOIGNE,새로운 마스터_46450,2026.01.18,5.0,점심
SOIGNE,조성은님,2026.01.18,3.0,점심
SOIGNE,BC LEE,2026.01.18,5.0,저녁
SOIGNE,redmine,2026.01.18,4.5,저녁
SOIGNE,지혜로운 맛사냥꾼_93335,2026.01.18,5.0,점심
에그앤플라워 해방촌 본점,강직한 마스터_88780,2026.01.21,5.0,저녁
에그앤플라워 해방촌 본점,dkskdo3o,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,아름다운 셀럽_69625,2026.01.20,4.7,점심
에그앤플라워 해방촌 본점,맛집먹는하마,2026.01.20,4.0,저녁
에그앤플라워 해방촌 본점,golferlee,2026.01.20,1.5,저녁
에그앤플라워 해방촌 본점,kimyoobin,2026.01.20,4.0,저녁
에그앤플라워 해방촌 본점,박주민님,2026.01.20,5.0,점심
에그앤플라워 해방촌 본점,매생이특전복죽,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,eunhye.,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,활기찬 개척가_65962,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,벨라랑랑,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,JINSSSSSS,2026.01.20,5.0,저녁
에그앤플라워 해방촌 본점,afmidory,2026.01.19,5.0,저녁
에그앤플라워 해방촌 본점,고독한 개척가_54153,2026.01.19,3.5,점심
에그앤플라워 해방촌 본점,비범한 식객_79369,2026.01.19,3.0,점심
에그앤플라워 해방촌 본점,맛사냐앙냥,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,솔직한 맛사냥꾼_32595,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,bbokemo,2026.01.18,4.5,저녁
에그앤플라워 해방촌 본점,경쾌한 맛사냥꾼_9151,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,윤희정이세요,2026.01.18,4.0,점심
에그앤플라워 해방촌 본점,챙e510,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,아름다운 미식가_65089,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,금쪽이 애기,2026.01.18,5.0,저녁
에그앤플라워 해방촌 본점,함묭,2026.01.18,4.5,점심
에그앤플라워 해방촌 본점,최고의 개척가_31431,2026.01.18,5.0,점심
에그앤플라워 해방촌 본점,재미있는 식도락가_6421,2026.01.18,4.7,점심
에그앤플라워 해방촌 본점,비버킹스맨,2026.01.18,5.0,점심
에그앤플라워 해방촌 본점,dbstns****,2026.01.18,4.3,점심
에그앤플라워 해방촌 본점,정직한 식도락가_94196,2026.01.18,5.0,점심
에그앤플라워 해방촌 본점,위트있는 미식가_88041,2026.01.18,5.0,저녁
수퍼판,압구정로데5,2026.01.21,5.0,저녁
수퍼판,요셉피나,2026.01.20,4.8,점심
수퍼판,꼼꼼한 셀럽_14430,2026.01.20,3.8,저녁
수퍼판,채하 파파,2026.01.20,5.0,저녁
수퍼판,똑똑한 미식가_73757,2026.01.20,4.7,점심
수퍼판,"미식에 진심, 미진",2026.01.19,5.0,저녁
수퍼판,외로운 개척가_49758,2026.01.19,2.0,저녁
수퍼판,도도한 식도락가_47759,2026.01.19,4.3,저녁
수퍼판,동열,2026.01.19,4.2,저녁
수퍼판,chan22,2026.01.19,4.0,점심
수퍼판,MILESTONE,2026.01.19,3.3,점심
수퍼판,우아한 식객_1407,2026.01.19,4.3,점심
수퍼판,손글씨쓰는장영호입니다,2026.01.19,1.0,점심
수퍼판,이민원_캐치,2026.01.19,5.0,저녁
수퍼판,김봄미_,2026.01.18,4.7,점심
수퍼판,서아서연아빠,2026.01.18,5.0,저녁
수퍼판,Jenniendless,2026.01.18,5.0,저녁
수퍼판,pooheo,2026.01.17,5.0,점심
이타닉 가든,맛뚜,2026.01.20,5.0,저녁
이타닉 가든,YMP,2026.01.20,5.0,점심
이타닉 가든,재미있는 개척가_49429,2026.01.20,5.0,점심
이타닉 가든,나는야돼지팡,2026.01.20,5.0,점심
이타닉 가든,flare_k,2026.01.19,5.0,점심
이타닉 가든,복싱하는아랍두부,2026.01.19,5.0,점심
이타닉 가든,Sunny_J,2026.01.19,5.0,저녁
이타닉 가든,온화한 미식가_91514,2026.01.19,5.0,저녁
이타닉 가든,듕기디동,2026.01.19,5.0,점심
이타닉 가든,콩국수맛있지않나요,2026.01.19,5.0,점심
이타닉 가든,언제나,2026.01.19,5.0,점심
이타닉 가든,막기견,2026.01.19,5.0,저녁
이타닉 가든,노형래,2026.01.18,5.0,저녁
이타닉 가든,ㄱㅂㅇㅇ,2026.01.18,5.0,점심
이타닉 가든,우수한 맛사냥꾼_72274,2026.01.18,5.0,점심
이타닉 가든,미식의왕,2026.01.18,4.0,저녁
이타닉 가든,개구린 개구립니다.,2026.01.18,5.0,점심
이타닉 가든,베개속침냄새,2026.01.18,5.0,점심
이타닉 가든,해이니2,2026.01.18,4.5,저녁
뜨라또리아 샘킴,새로운 식도락가_82078,2026.01.20,4.8,저녁
뜨라또리아 샘킴,H.O JANG,2026.01.20,5.0,저녁
